Students	3000
125	105 173 9 1
126	141 109 72 117
127	21 13 148 83
128	111 177 36 42
129	113 54 168 134
130	42 39 102 116
131	133 70 10 71
132	93 121 8 165
133	95 84 134 82
134	79 133 45 140
135	124 55 182 132
136	134 117 52 113
137	189 33 164 21
138	122 164 8 21
139	35 56 180 114
140	125 188 84 47
141	137 54 165 44
142	18 42 21 142
143	100 48 154 92
144	133 3 193 162
145	143 199 26 81
146	79 33 13 52
147	47 105 93 53
148	15 65 69 53
149	144 136 22 139
150	107 77 182 110
151	13 176 54 87
152	84 63 130 6
153	99 9 56 64
154	5 70 145 154
155	94 87 3 105
156	75 114 104 83
157	57 2 149 129
158	143 33 47 34
159	45 11 112 100
160	122 177 110 20
161	191 24 137 170
162	65 76 83 170
163	139 67 161 77
164	57 157 107 135
165	36 25 47 31
166	73 41 140 126
167	194 103 62 68
168	1 152 172 67
169	158 2 77 175
170	58 14 191 45
171	101 18 94 80
172	200 183 162 31
173	51 163 91 6
174	31 48 98 92
175	159 25 128 58
176	21 167 182 50
177	143 96 75 80
178	72 162 137 1
179	47 150 57 149
180	51 87 118 158
181	68 116 155 184
182	91 9 58 118
183	148 37 66 75
184	130 79 95 96
185	163 4 43 193
186	48 82 167 200
187	158 174 42 12
188	177 28 169 100
189	159 158 37 43
190	115 150 157 92
191	14 102 49 55
192	135 83 182 5
193	102 69 124 25
194	142 79 48 32
195	185 25 62 198
196	198 187 1 149
197	187 38 7 39
198	8 53 82 195
199	25 102 3 194
200	151 149 186 27
201	30 153 118 116
202	110 31 36 142
203	166 106 161 122
204	77 18 177 59
205	172 143 127 147
206	74 161 80 79
207	138 50 129 165
208	19 170 129 39
209	17 112 22 45
210	94 164 83 84
211	175 66 76 179
212	98 68 161 33
213	21 13 24 146
214	4 146 119 75
215	175 96 54 11
216	35 159 77 109
217	107 11 174 142
218	177 149 92 180
219	170 158 199 188
220	75 32 127 196
221	160 170 83 19
222	52 70 49 98
223	2 25 76 55
224	130 73 10 101
225	61 85 95 8
226	94 13 103 14
227	60 90 150 191
228	15 136 90 193
229	140 168 186 60
230	84 69 68 182
231	111 157 123 101
232	56 62 28 171
233	12 15 96 7
234	85 134 86 185
235	40 123 160 24
236	44 118 20 127
237	25 187 59 111
238	190 70 136 96
239	83 92 74 4
240	166 130 80 113
241	17 153 124 142
242	8 6 10 186
243	154 103 188 178
244	191 100 48 112
245	135 17 108 180
246	84 180 137 79
247	136 121 55 100
248	40 155 58 128
249	82 86 88 182
250	112 26 144 129
251	60 166 58 178
252	123 142 53 195
253	65 6 171 20
254	48 10 36 14
255	133 134 153 143
256	60 2 187 119
257	104 4 147 118
258	70 199 181 4
259	24 78 92 112
260	83 142 190 51
261	70 79 98 195
262	185 96 15 92
263	12 87 69 32
264	36 34 9 23
265	181 62 65 199
266	56 91 1 54
267	103 139 36 127
268	179 88 148 108
269	104 91 45 155
270	106 93 99 70
271	4 115 54 158
272	122 2 188 85
273	56 119 96 137
274	102 3 174 65
275	109 83 131 150
276	3 186 101 47
277	115 70 108 87
278	96 195 74 134
279	176 82 1 53
280	23 45 183 111
281	32 113 122 110
282	79 21 161 182
283	197 155 132 19
284	163 135 87 124
285	102 6 74 104
286	6 29 112 120
287	57 109 136 96
288	79 57 78 66
289	106 99 55 143
290	59 55 78 173
291	130 117 99 93
292	146 45 172 44
293	83 196 35 20
294	141 72 152 27
295	11 113 178 193
296	32 115 182 44
297	89 128 68 16
298	121 47 143 118
299	157 77 26 197
300	151 106 110 10
301	199 200 185 120
302	119 76 48 32
303	1 164 174 35
304	199 183 144 42
305	76 168 172 69
306	109 144 42 132
307	185 64 194 66
308	166 113 179 78
309	105 67 199 122
310	166 196 181 187
311	72 189 25 76
312	75 67 147 29
313	190 39 117 174
314	56 107 114 13
315	120 89 177 59
316	18 120 141 182
317	171 198 33 129
318	25 80 85 98
319	141 94 198 146
320	70 59 137 7
321	123 12 103 151
322	125 52 195 100
323	160 17 95 110
324	28 120 91 90
325	174 58 156 7
326	171 61 69 80
327	146 96 22 145
328	130 143 29 26
329	86 41 138 74
330	19 13 156 129
331	180 103 19 88
332	176 49 76 168
333	117 171 102 194
334	117 9 129 119
335	96 144 37 132
336	162 3 15 170
337	112 98 90 55
338	147 199 118 140
339	67 176 125 98
340	151 75 22 126
341	17 9 119 191
342	33 17 129 54
343	72 73 137 4
344	188 71 89 143
345	96 190 139 166
346	15 82 97 12
347	25 141 115 89
348	34 67 50 119
349	151 63 145 179
350	92 21 84 175
351	56 9 100 4
352	186 130 181 109
353	104 41 113 37
354	120 127 151 90
355	199 1 184 84
356	128 119 30 32
357	23 174 40 33
358	131 9 78 117
359	49 181 27 57
360	150 49 20 82
361	154 138 165 95
362	16 188 56 130
363	138 147 102 149
364	177 130 80 86
365	101 29 186 193
366	84 152 6 166
367	120 176 20 28
368	102 112 185 158
369	70 180 32 124
370	198 10 39 53
371	145 50 71 131
372	182 34 18 87
373	172 109 181 188
374	112 176 136 194
375	61 118 22 193
376	124 129 31 84
377	87 189 39 42
378	85 6 103 81
379	192 30 166 136
380	91 140 67 151
381	125 139 10 194
382	136 192 121 68
383	109 75 68 174
384	103 139 156 137
385	157 90 122 156
386	9 166 89 35
387	166 86 60 30
388	43 9 146 81
389	7 60 69 192
390	118 84 43 63
391	88 65 62 58
392	72 45 3 82
393	33 163 194 110
394	57 157 52 72
395	88 162 172 68
396	49 200 91 169
397	133 121 82 131
398	161 189 33 98
399	59 139 188 158
400	86 57 93 170
401	103 6 147 89
402	23 191 33 196
403	5 83 120 183
404	149 23 199 119
405	126 174 3 166
406	180 78 195 75
407	146 50 196 136
408	186 38 36 106
409	181 52 159 17
410	30 116 147 107
411	3 41 20 132
412	116 119 197 148
413	76 107 9 19
414	107 149 13 24
415	177 152 46 52
416	158 53 173 49
417	195 146 183 121
418	52 8 154 69
419	110 81 7 182
420	23 191 2 170
421	44 99 193 73
422	109 149 168 23
423	127 113 16 93
424	163 105 197 6
425	104 134 59 118
426	161 63 172 47
427	92 139 129 33
428	197 41 53 7
429	159 34 180 77
430	129 6 17 183
431	152 97 2 189
432	52 129 91 70
433	98 36 171 188
434	10 62 119 182
435	133 14 61 33
436	198 53 41 89
437	162 50 126 91
438	162 38 198 150
439	145 100 52 76
440	45 116 151 4
441	126 181 67 113
442	200 190 132 105
443	96 44 177 77
444	114 11 19 98
445	176 60 120 15
446	155 128 54 139
447	113 86 159 69
448	129 37 63 126
449	31 59 99 131
450	54 83 183 192
451	142 33 186 135
452	159 42 191 174
453	101 41 186 200
454	90 169 59 119
455	168 163 7 6
456	62 59 19 176
457	95 158 44 191
458	86 39 181 18
459	171 88 195 144
460	59 71 45 199
461	197 132 66 57
462	32 60 72 199
463	98 57 33 164
464	27 118 104 55
465	16 123 128 132
466	111 185 107 91
467	69 79 1 163
468	174 22 25 68
469	153 108 56 104
470	173 28 81 62
471	153 163 63 80
472	95 79 10 30
473	80 30 147 186
474	131 162 184 12
475	152 5 37 31
476	169 187 174 35
477	62 7 90 142
478	179 150 67 84
479	66 56 76 93
480	136 155 171 70
481	172 35 7 99
482	24 161 178 174
483	137 175 80 55
484	143 161 176 196
485	192 176 101 92
486	63 147 88 128
487	184 65 186 179
488	169 66 19 81
489	75 38 169 101
490	145 75 187 155
491	29 20 191 186
492	34 24 71 143
493	46 128 1 112
494	42 83 4 188
495	80 155 146 128
496	39 127 188 189
497	30 108 115 153
498	172 115 129 103
499	27 145 171 95
500	56 147 145 170
501	92 83 42 85
502	72 80 83 3
503	94 5 157 126
504	67 95 123 94
505	151 134 35 127
506	80 130 116 120
507	128 145 40 141
508	81 115 82 78
509	61 7 198 82
510	195 172 155 182
511	120 51 175 22
512	80 125 17 44
513	173 39 8 95
514	69 121 57 114
515	94 151 55 160
516	96 129 36 32
517	136 135 95 196
518	178 21 155 141
519	77 165 161 70
520	86 123 164 9
521	38 142 127 19
522	49 70 26 80
523	137 76 44 11
524	82 183 126 133
525	23 155 73 130
526	177 169 83 170
527	27 79 175 58
528	17 126 54 50
529	25 167 109 69
530	180 13 34 35
531	56 147 9 135
532	98 191 75 28
533	179 112 135 20
534	174 175 104 18
535	32 75 88 166
536	48 17 7 16
537	79 4 56 94
538	11 109 173 183
539	183 147 116 156
540	169 54 35 131
541	98 118 82 66
542	85 35 26 136
543	9 183 157 54
544	61 20 95 156
545	70 15 130 39
546	22 102 158 52
547	69 10 164 95
548	49 200 133 56
549	51 69 171 76
550	119 41 152 160
551	11 111 38 123
552	58 196 136 181
553	85 46 39 144
554	193 135 184 102
555	26 72 173 113
556	76 163 171 51
557	162 119 191 106
558	45 89 70 92
559	83 53 97 134
560	109 180 31 191
561	149 127 200 73
562	60 107 140 64
563	182 15 100 144
564	89 117 191 139
565	166 177 188 27
566	5 15 183 48
567	54 63 57 65
568	134 174 175 178
569	164 118 187 53
570	107 139 141 118
571	18 76 130 97
572	95 161 117 96
573	198 14 87 121
574	112 37 150 74
575	140 93 45 157
576	177 131 90 6
577	77 198 13 61
578	74 194 155 157
579	13 32 17 108
580	34 3 165 61
581	131 57 126 195
582	189 130 142 46
583	3 114 30 27
584	124 24 145 184
585	81 98 78 145
586	14 12 99 93
587	98 4 56 95
588	34 15 32 135
589	38 167 32 183
590	64 107 47 141
591	85 111 199 54
592	73 139 89 146
593	125 69 171 122
594	48 90 163 179
595	100 165 68 110
596	45 24 158 56
597	141 95 28 21
598	25 31 85 182
599	32 63 92 95
600	30 92 160 57
601	146 52 27 142
602	142 2 161 153
603	160 3 111 147
604	124 189 154 141
605	157 3 129 178
606	112 35 93 3
607	22 96 41 174
608	186 136 169 152
609	150 12 151 101
610	39 36 83 173
611	127 9 113 166
612	103 147 12 71
613	91 35 95 150
614	63 127 148 29
615	53 90 139 184
616	196 90 121 72
617	70 110 56 90
618	174 68 120 19
619	30 131 41 76
620	153 139 112 136
621	148 56 199 120
622	112 86 89 159
623	14 98 155 52
624	23 46 90 149
625	177 80 69 123
626	98 117 120 51
627	134 111 115 101
628	86 87 125 154
629	167 62 142 193
630	126 133 149 180
631	104 39 189 150
632	170 166 110 151
633	25 120 4 190
634	200 196 62 162
635	63 116 141 155
636	170 138 140 46
637	69 173 138 48
638	156 85 120 57
639	166 149 53 158
640	96 140 67 159
641	94 156 57 152
642	98 124 185 52
643	40 112 115 43
644	193 16 134 64
645	69 152 180 89
646	110 143 56 177
647	55 58 136 82
648	198 54 66 192
649	68 100 148 21
650	42 160 179 134
651	75 132 172 177
652	71 193 186 171
653	164 174 154 103
654	128 165 124 31
655	5 4 21 49
656	54 4 101 134
657	154 72 94 12
658	19 42 59 61
659	195 21 5 198
660	37 101 41 22
661	73 132 127 37
662	17 106 15 40
663	199 160 77 111
664	30 83 192 60
665	74 26 98 177
666	168 136 30 149
667	181 114 11 153
668	134 99 69 73
669	129 117 154 11
670	13 42 108 147
671	6 8 136 84
672	28 102 129 82
673	166 62 86 9
674	30 128 33 190
675	48 66 170 188
676	32 86 54 197
677	121 145 144 190
678	48 185 103 40
679	18 31 108 60
680	69 47 10 144
681	35 36 118 109
682	191 76 101 88
683	167 157 28 141
684	75 24 149 157
685	141 171 176 115
686	147 72 61 58
687	65 66 141 83
688	20 70 11 106
689	149 107 182 2
690	20 133 165 172
691	4 113 141 39
692	29 116 198 137
693	50 35 141 172
694	7 174 14 27
695	92 9 24 58
696	103 13 79 54
697	111 48 24 83
698	16 179 200 178
699	176 66 113 97
700	72 185 41 152
701	190 164 71 56
702	135 166 97 200
703	2 163 44 34
704	113 106 191 190
705	35 193 107 131
706	140 120 174 12
707	14 106 92 160
708	40 82 104 115
709	185 64 23 142
710	193 158 150 191
711	187 175 119 3
712	20 172 139 35
713	187 62 171 60
714	177 42 127 144
715	51 115 15 123
716	28 183 38 124
717	27 75 93 107
718	2 96 159 139
719	177 12 5 59
720	145 148 56 180
721	172 166 41 100
722	139 156 71 24
723	156 128 190 166
724	54 197 103 87
725	88 173 32 8
726	1 155 13 10
727	117 200 50 39
728	138 6 146 127
729	31 120 188 155
730	101 162 94 154
731	39 72 65 147
732	138 160 24 107
733	146 61 132 37
734	149 172 94 30
735	128 26 54 110
736	149 37 127 108
737	6 36 98 87
738	115 152 119 120
739	198 175 116 113
740	10 71 197 110
741	124 27 22 31
742	119 142 85 110
743	24 193 68 27
744	181 96 179 24
745	65 116 171 108
746	75 36 181 130
747	120 38 153 4
748	44 128 108 58
749	3 26 90 66
750	56 106 135 20
751	3 37 35 15
752	33 176 48 64
753	32 138 98 115
754	196 25 94 158
755	95 113 130 27
756	31 155 161 97
757	191 89 40 56
758	4 140 64 29
759	20 193 1 153
760	128 192 35 107
761	11 116 16 61
762	7 50 18 187
763	161 96 170 192
764	90 82 40 134
765	33 170 81 28
766	88 143 109 79
767	126 35 171 188
768	128 99 145 194
769	18 57 159 74
770	151 40 16 64
771	76 129 92 119
772	14 15 73 140
773	186 130 48 3
774	164 119 123 35
775	93 167 134 59
776	41 29 105 188
777	113 96 72 11
778	111 139 110 48
779	10 110 144 6
780	163 168 132 82
781	128 152 149 156
782	31 60 109 72
783	5 78 133 36
784	119 149 157 105
785	124 119 125 160
786	135 173 127 172
787	68 13 48 66
788	183 172 143 186
789	133 92 58 176
790	107 126 2 125
791	138 55 103 182
792	31 140 116 33
793	84 168 195 179
794	81 70 46 102
795	139 125 46 133
796	73 55 116 28
797	188 71 24 116
798	71 18 1 89
799	197 59 158 26
800	42 7 1 120
801	64 138 40 177
802	81 118 127 4
803	166 81 59 133
804	87 196 200 152
805	164 191 123 25
806	158 56 140 73
807	49 57 38 151
808	66 102 131 149
809	100 47 48 36
810	105 180 151 115
811	147 21 48 114
812	175 149 53 121
813	134 98 138 90
814	31 53 1 12
815	15 118 4 74
816	196 187 132 9
817	73 79 151 149
818	42 112 158 150
819	86 156 58 45
820	29 92 148 73
821	171 150 109 77
822	77 129 50 168
823	155 18 43 194
824	13 36 171 50
825	170 141 157 189
826	195 106 9 31
827	37 50 58 94
828	25 154 159 88
829	113 54 29 80
830	147 92 105 32
831	154 45 95 139
832	31 61 154 94
833	168 30 29 160
834	164 101 163 115
835	168 107 57 150
836	17 171 25 96
837	163 132 100 87
838	168 86 171 7
839	154 96 199 33
840	151 163 68 178
841	9 34 81 114
842	5 162 187 135
843	97 27 113 90
844	65 13 66 150
845	53 131 36 37
846	92 190 157 18
847	136 45 20 160
848	145 17 98 141
849	67 172 4 80
850	141 71 147 75
851	78 194 59 163
852	67 32 95 196
853	138 102 71 95
854	52 71 168 188
855	163 111 197 68
856	92 183 14 192
857	90 103 77 19
858	181 135 175 193
859	167 128 49 18
860	10 101 37 44
861	90 34 13 65
862	63 142 78 159
863	108 49 1 125
864	8 6 81 186
865	77 54 165 18
866	189 151 21 183
867	50 133 105 107
868	196 80 51 59
869	179 101 86 88
870	188 185 196 1
871	88 63 33 160
872	139 49 192 93
873	185 77 38 49
874	173 88 185 80
875	25 50 154 176
876	45 116 175 25
877	154 56 78 168
878	116 199 76 123
879	170 33 20 14
880	93 164 126 183
881	70 178 14 45
882	187 102 180 189
883	2 33 139 77
884	117 180 52 111
885	179 4 93 108
886	93 168 141 49
887	103 76 105 79
888	64 31 184 177
889	86 66 155 22
890	58 48 193 12
891	93 197 136 133
892	65 69 19 181
893	44 135 161 26
894	142 48 169 75
895	35 132 39 144
896	52 172 21 110
897	49 48 66 168
898	97 9 158 48
899	181 162 78 64
900	59 110 17 102
901	150 10 193 191
902	197 35 163 141
903	153 51 19 25
904	156 164 170 147
905	193 101 159 121
906	134 15 152 163
907	108 33 155 2
908	42 5 20 87
909	69 11 35 30
910	123 155 154 131
911	109 96 87 105
912	160 55 5 134
913	8 34 73 104
914	4 196 94 122
915	137 22 138 77
916	49 22 56 187
917	91 38 183 12
918	188 7 121 73
919	59 116 109 181
920	104 163 145 50
921	10 146 3 185
922	136 145 13 70
923	101 197 130 149
924	156 26 122 138
925	157 148 40 110
926	105 168 129 119
927	33 84 27 104
928	138 162 193 78
929	170 73 21 160
930	165 186 178 45
931	117 40 51 186
932	162 40 81 78
933	106 40 37 135
934	122 150 181 16
935	123 112 95 128
936	159 147 126 191
937	89 130 114 166
938	38 48 197 30
939	172 135 147 1
940	114 36 60 27
941	98 82 104 46
942	87 20 88 168
943	197 30 192 59
944	145 174 19 151
945	18 57 121 147
946	51 186 46 89
947	70 31 34 161
948	64 29 24 156
949	188 198 141 160
950	169 55 180 31
951	39 113 92 53
952	196 16 12 24
953	45 156 80 157
954	92 97 180 157
955	60 153 91 40
956	4 86 33 90
957	34 175 21 90
958	149 86 197 170
959	124 140 72 26
960	69 37 52 9
961	168 185 32 55
962	144 115 50 138
963	185 195 123 108
964	60 118 112 128
965	120 131 23 157
966	55 96 128 6
967	153 192 30 167
968	148 129 4 75
969	102 40 5 158
970	27 18 146 159
971	100 169 198 79
972	161 146 139 178
973	87 40 63 170
974	55 56 181 126
975	55 144 7 156
976	163 109 133 48
977	190 15 2 78
978	51 28 101 104
979	28 139 19 2
980	155 35 158 25
981	125 13 99 173
982	32 142 13 113
983	188 178 154 49
984	161 81 63 135
985	187 127 175 51
986	32 189 49 56
987	138 154 182 151
988	181 58 106 156
989	90 190 52 189
990	69 111 46 143
991	10 141 34 145
992	177 80 123 34
993	34 148 41 161
994	107 199 62 81
995	104 135 172 49
996	97 91 7 189
997	135 75 194 13
998	160 34 16 178
999	164 37 6 53
1000	10 3 101 53
1001	40 44 22 153
1002	134 102 10 118
1003	57 141 144 65
1004	64 192 5 45
1005	24 145 12 176
1006	56 88 149 48
1007	65 16 173 72
1008	64 191 117 33
1009	93 184 138 77
1010	191 84 96 38
1011	54 161 64 195
1012	60 47 79 183
1013	89 40 9 179
1014	183 14 76 56
1015	20 25 174 175
1016	48 42 177 142
1017	26 110 135 130
1018	37 13 79 19
1019	182 54 76 81
1020	87 183 151 170
1021	140 135 67 180
1022	170 159 70 155
1023	30 69 56 79
1024	14 41 166 51
1025	197 128 199 13
1026	41 6 55 150
1027	183 142 16 149
1028	174 42 98 103
1029	32 187 59 36
1030	104 3 110 197
1031	173 159 140 88
1032	43 106 195 21
1033	166 35 2 89
1034	80 149 123 144
1035	115 151 145 190
1036	64 17 157 171
1037	179 153 32 3
1038	196 82 63 140
1039	64 72 169 33
1040	66 140 196 170
1041	176 59 144 48
1042	98 41 14 79
1043	138 8 34 72
1044	97 151 29 64
1045	130 88 44 200
1046	163 195 93 143
1047	91 5 35 174
1048	131 106 57 45
1049	141 135 110 185
1050	38 87 198 53
1051	128 182 72 75
1052	184 7 183 123
1053	92 17 166 115
1054	26 193 188 12
1055	136 32 2 5
1056	6 106 18 180
1057	38 3 37 177
1058	35 22 161 60
1059	26 78 115 171
1060	170 189 51 138
1061	115 85 139 86
1062	28 73 114 127
1063	70 65 107 25
1064	33 181 199 157
1065	200 30 191 75
1066	177 179 159 189
1067	7 187 168 124
1068	92 34 31 94
1069	18 80 193 24
1070	164 40 88 136
1071	127 9 45 197
1072	110 115 189 54
1073	14 59 56 197
1074	134 189 139 35
1075	185 81 3 131
1076	26 167 179 148
1077	187 33 132 101
1078	34 75 77 115
1079	64 24 45 192
1080	131 164 174 192
1081	124 189 129 29
1082	153 28 135 38
1083	144 160 12 91
1084	26 20 99 167
1085	107 194 165 94
1086	100 77 18 103
1087	188 184 26 111
1088	146 189 120 76
1089	38 171 128 36
1090	116 91 37 36
1091	199 47 196 5
1092	53 7 138 102
1093	164 82 13 86
1094	75 106 59 105
1095	171 39 144 188
1096	187 106 93 29
1097	37 136 108 80
1098	168 16 36 138
1099	82 145 186 13
1100	197 71 172 105
1101	193 116 169 18
1102	117 1 125 58
1103	143 176 14 179
1104	14 149 40 22
1105	89 150 193 138
1106	13 138 33 21
1107	166 29 6 153
1108	95 92 88 94
1109	79 114 13 11
1110	143 102 108 78
1111	159 83 129 133
1112	116 46 105 197
1113	68 91 11 37
1114	171 84 128 139
1115	106 199 58 167
1116	27 54 74 63
1117	120 176 98 131
1118	161 142 176 65
1119	149 11 157 39
1120	47 6 3 187
1121	174 153 142 89
1122	104 5 82 159
1123	19 84 62 25
1124	19 81 192 36
1125	32 33 89 121
1126	117 45 106 188
1127	47 137 23 60
1128	5 27 135 127
1129	63 75 76 136
1130	110 150 45 111
1131	88 190 11 89
1132	28 32 164 159
1133	117 182 62 183
1134	157 100 140 132
1135	196 135 80 54
1136	154 7 151 62
1137	170 199 184 103
1138	83 77 63 163
1139	93 105 73 5
1140	120 161 42 52
1141	86 93 68 126
1142	6 28 65 17
1143	137 33 63 62
1144	186 174 66 53
1145	148 53 193 153
1146	35 197 57 108
1147	178 55 127 30
1148	140 144 86 23
1149	186 49 158 168
1150	39 13 85 70
1151	86 129 95 20
1152	131 20 66 104
1153	151 77 153 93
1154	161 168 77 140
1155	102 29 92 177
1156	160 131 120 20
1157	93 28 48 35
1158	170 86 64 97
1159	144 78 91 155
1160	9 182 170 139
1161	136 55 151 52
1162	189 185 171 150
1163	106 120 75 113
1164	145 163 178 156
1165	91 42 139 18
1166	22 100 88 149
1167	12 67 161 149
1168	36 108 119 96
1169	132 1 149 3
1170	27 140 107 2
1171	127 63 45 168
1172	102 177 163 128
1173	8 147 115 189
1174	176 158 99 84
1175	129 101 12 148
1176	23 44 33 6
1177	30 162 96 122
1178	55 172 193 183
1179	118 101 139 181
1180	50 129 44 113
1181	180 32 149 2
1182	142 12 68 32
1183	16 56 160 53
1184	76 75 144 3
1185	87 174 132 18
1186	171 110 127 58
1187	154 164 24 15
1188	94 186 65 75
1189	180 102 199 155
1190	21 155 134 126
1191	43 100 157 96
1192	31 14 182 134
1193	69 107 119 113
1194	93 27 155 59
1195	93 192 140 27
1196	26 156 198 96
1197	172 133 142 60
1198	97 66 20 59
1199	55 115 136 29
1200	17 197 158 86
1201	191 162 30 98
1202	41 125 137 27
1203	89 131 38 192
1204	17 71 151 131
1205	6 129 187 85
1206	59 178 186 191
1207	9 192 5 170
1208	124 2 129 86
1209	88 166 125 149
1210	28 45 37 96
1211	145 100 99 168
1212	149 16 133 69
1213	162 146 81 98
1214	169 58 111 68
1215	61 176 20 29
1216	161 90 51 138
1217	119 30 104 154
1218	106 157 45 102
1219	66 100 129 93
1220	170 17 116 200
1221	12 102 151 123
1222	64 124 166 194
1223	74 85 63 167
1224	143 157 145 166
1225	41 72 191 140
1226	174 147 133 149
1227	37 162 43 135
1228	45 71 44 56
1229	42 51 165 172
1230	86 127 168 7
1231	7 9 58 74
1232	35 73 76 173
1233	105 61 96 147
1234	147 17 127 14
1235	153 27 143 112
1236	198 27 103 126
1237	134 6 108 175
1238	33 105 116 157
1239	95 190 28 158
1240	29 117 31 141
1241	55 51 133 32
1242	14 21 26 120
1243	171 55 80 81
1244	164 3 135 144
1245	12 26 176 88
1246	30 107 195 173
1247	106 188 99 144
1248	79 11 8 137
1249	138 136 11 117
1250	54 1 35 139
1251	198 67 17 176
1252	130 54 117 60
1253	143 54 84 103
1254	26 184 175 51
1255	188 27 139 190
1256	181 44 199 165
1257	22 6 188 170
1258	133 55 33 165
1259	25 18 78 23
1260	74 183 185 184
1261	200 16 193 35
1262	14 154 74 23
1263	3 20 140 17
1264	99 194 186 30
1265	133 11 94 31
1266	172 25 170 126
1267	180 6 187 8
1268	8 191 121 200
1269	186 75 152 198
1270	69 29 10 37
1271	42 182 48 148
1272	41 137 35 130
1273	91 31 115 171
1274	84 94 93 149
1275	33 107 4 118
1276	9 84 180 163
1277	119 147 157 79
1278	115 18 127 42
1279	25 117 121 167
1280	182 63 197 82
1281	163 54 55 89
1282	92 14 97 180
1283	22 149 46 35
1284	157 109 189 171
1285	172 163 126 87
1286	108 1 99 157
1287	91 99 145 83
1288	132 175 113 60
1289	24 162 148 51
1290	107 48 113 148
1291	120 110 105 1
1292	66 147 183 8
1293	183 1 88 101
1294	149 163 118 63
1295	70 21 174 112
1296	57 190 17 175
1297	131 23 151 68
1298	92 131 14 187
1299	43 59 53 142
1300	111 148 105 66
1301	13 166 95 99
1302	12 108 55 77
1303	136 137 126 176
1304	140 130 53 164
1305	198 187 197 5
1306	91 155 161 5
1307	80 114 141 162
1308	56 100 59 46
1309	74 131 144 183
1310	3 138 108 35
1311	155 81 115 5
1312	100 107 190 118
1313	97 98 113 135
1314	30 67 70 101
1315	72 146 91 87
1316	180 61 12 129
1317	111 34 19 83
1318	31 200 15 79
1319	10 67 18 163
1320	49 11 37 129
1321	51 100 106 30
1322	196 91 111 138
1323	13 110 72 186
1324	198 119 52 123
1325	149 32 145 55
1326	13 4 164 37
1327	12 178 196 82
1328	2 181 73 168
1329	54 163 119 89
1330	83 170 136 165
1331	198 102 78 151
1332	81 4 108 93
1333	96 12 166 67
1334	94 13 64 106
1335	101 24 45 7
1336	130 176 168 78
1337	188 8 148 4
1338	115 125 133 190
1339	1 61 188 32
1340	71 45 7 158
1341	108 160 130 174
1342	193 200 111 144
1343	128 99 97 159
1344	71 144 120 7
1345	156 139 28 66
1346	139 34 17 200
1347	183 190 24 52
1348	3 172 2 167
1349	15 83 2 176
1350	170 73 120 50
1351	122 104 154 11
1352	174 79 84 157
1353	128 87 183 10
1354	193 132 37 137
1355	47 15 95 166
1356	8 55 43 155
1357	106 197 178 72
1358	115 72 141 153
1359	45 163 173 1
1360	75 16 163 189
1361	160 50 94 42
1362	131 126 115 180
