Course	Room	Teacher	Time	Students
007125	TH110	0162976	42	0853174 0867125 0906447 0911802 0918074 0920237 0945264 0966414 0986262 0987600 1001196 1004968 1007799 1016996 1019674 1040818 1067483 1076246 1076922 1078648 1084185 3085403 
005156	TH110	0493855	28	0853988 0907596 0913115 0913989 0945449 0985440 0986367 0992186 0992796 1005112 1007882 1018817 1021017 1039679 1041140 1056320 1066308 1066431 1066924 1076274 1078646 1080894 1090564 1095814 1101336 1121871 3073692 3079272 3095009 3100876 
011046	TAYSEM	3194197	2	0859409 0945635 0986688 0993268 1005971 
005199	TAYC	0493855	7	0865582 0909216 0991769 0995269 1007134 1039679 1055441 1056688 1065271 1080303 1088972 1160158 3076618 3085083 3094722 
005247	TAYSEM	0493855	1	0865582 0917732 0976244 0986688 0992186 1076783 1088173 
008467	CARP17	0125630	9	0865582 0913989 1000750 1002606 1005346 1020695 1025035 1082799 1133174 1143639 1170370 3076576 
009304	GOCOM	0493856	3	0865582 0909216 0915648 0963528 0986688 0999833 1172030 
004023	PK236	1167978	3	0867125 1143639 1169402 
007113	PK338	0316015	52	0867125 0919776 0920251 0920400 0981989 0986688 1001905 1013071 1025623 1040818 1066679 1067382 1067483 1067748 1076922 1083626 1086489 
007127	PK25	0162976	21	0867125 0902541 0911802 0913115 0913946 0915740 0918074 0918519 0919776 0920237 0920251 0945264 0966414 0967793 0976421 0981989 0982172 0992223 0999689 0999712 1000990 1001196 1005068 1006899 1007134 1007799 1007882 1016996 1067483 1068052 1076922 1083812 3085403 
001852	PK128	0409956	0	0868541 1083594 
007380	PK243	0987494	56	0868541 0914076 0986367 1004324 1008282 1067502 1080272 1102030 1124785 1146370 1169360 3072910 3086238 3095924 3112067 
001166	GIL210	0135660	33	0871681 0903917 0904516 0918064 0950504 0958984 0966077 0966299 0986807 0987937 0991763 0992189 0992616 0993551 1006744 1007554 1007842 1017444 1021867 1078921 1092999 1101350 1102030 1115477 1170071 3064940 3085521 
001213	CAN314	0031471	5	0871681 0918064 0965861 1025508 1037745 1079993 1137955 1170479 
001248	DAL100A	0031471	2	0871681 0903917 0918064 0954830 0966077 0966299 0986807 0991763 0992189 0992616 0993551 1007554 1007842 1037745 
001749	TAYSEM	3208212	9	0877028 0998885 1096152 3072447 3080612 3087433 3103807 
007034	TH111	1075274	10	0877028 0906447 0992223 1018183 1080792 1100899 1111901 1171461 3073143 3096693 3105612 3106074 3110771 
011066	CAN311	3195964	1	0877028 0920400 0967793 0988245 1000990 1005346 1056738 1058421 
006042	TH110	0409737	23	0896929 0909240 0915622 0952008 0954830 0964596 0967988 0970193 0987600 1000355 1002405 1005082 1006438 1006444 1007196 1007394 1009729 1016434 1018936 1020520 1024283 1040818 1049929 1056722 1064780 1067334 1068052 1076989 1077161 1081917 1088384 3073169 3077471 
001838	DAL204	0168763	12	0897034 0959919 0999826 1005427 1006799 1018174 1032432 1037745 1040618 1049050 1053370 1062675 1065183 1065238 1065732 1076238 1076783 1086802 1096822 1100338 1100899 1117264 1122784 1126639 1131602 1136830 1141729 1157688 1169341 1170370 1170757 3071313 3073143 3079376 3085504 3085513 3094722 3105821 
002472	EHLEC	0493725	1	0897034 0907150 0907217 0909560 0914290 0914299 0945584 0949279 0980693 0991672 0993169 0999896 1000122 1005102 
004882	RCSEM	0531931	5	0897034 0970262 1056270 1058421 1085324 
004852	PK232	3194193	8	0897911 0944831 0968216 0973811 0980544 1001806 1007779 1032769 1084462 1085324 3074570 3090362 
010953	TH110	0058557	38	0897911 0905682 1005346 1056217 1058421 1064270 1066335 1080398 1083812 1095349 1100338 1117142 1126639 1142212 1150720 1157688 1164190 1170033 3070440 3071734 3073300 3074734 3103807 
011079	TAYC	1167851	2	0897911 0907150 0909560 0910403 0918775 0920248 0952211 0988271 0991672 0998815 0998885 1004997 1016793 1088192 
002367	PK25	0493725	16	0897931 1005315 1039943 1056012 1056910 1058242 1067334 1079085 1083430 1086710 1086927 1087490 1097648 1149270 1169382 1171414 3068772 3071136 3072447 3073300 3073507 3074001 3074930 3074965 3076489 3079369 3080473 3080592 3085810 3087720 3088117 3089611 3097347 3098330 3103445 3107993 3195980 
002992	DAL204	3195619	4	0897931 0906618 0909560 0963413 0987347 0998799 1005315 1007952 1030369 1032929 1049929 1055348 1067241 1067334 1076246 1079363 1088365 1090564 1095814 1098099 1102530 1121871 1144234 1146215 1157047 1157506 1170703 3073507 3073702 3074001 3077336 3077809 3080473 3080612 3080794 3080937 3081368 3085509 3087352 3087449 3092360 3092972 3093190 3095105 3095649 3095842 3096962 3099757 3099774 3100989 3105046 3105511 3105612 3105820 3105854 3106068 3106769 3107589 3107963 3107966 3107993 
004733	CARP17	1084458	2	0897931 1017840 1020520 1037338 1082919 1099662 1111549 1166163 3090519 3094573 3099822 3104489 3106131 
010956	PK337	0024663	3	0900240 0947693 0993169 0999195 1007196 1017840 1056281 1082919 3090519 
002869	PK338	0004955	34	0910403 0915648 0919283 0988625 0998351 1017412 1028249 1037338 1038303 1058180 1076085 1080894 1088558 1089147 1111549 1133174 1161132 1163278 3077623 3097953 3104899 
004735	PK273	0004955	1	0901262 1058893 1076877 1094520 3074551 
010932	TAYSEM	3098022	5	0901262 0960084 0966268 1010741 1077815 1082919 1172355 
004666	TH110	0775640	48	0903917 0906896 0966094 0966299 0973811 0992189 1001039 1001351 1007799 1020520 1038671 1057261 1076009 1085061 1105086 1128560 1142212 3075745 3085509 
001894	PK200	0123161	0	0904516 0911936 0986094 0989590 1004733 1056980 
005243	TH3F	3094620	2	0904516 1039679 1064752 1076783 
004278	PK11	0017611	0	0904680 0966268 1003644 1005548 1076299 1086867 1117320 
004280	PK300	0031577	1	0904680 
004282	RCSEM	1165566	3	0904680 0912439 0966268 1056096 
010960	PK232	3092941	3	0904918 0910403 0912699 0945034 0952211 0959919 0965861 0965925 0980544 0990668 1015275 1079444 
001151	DAL204	0309967	6	0984724 1041559 1057261 1076877 1078198 1087116 1087782 1092116 1092999 1096470 1101350 1103391 1105842 1117264 1128560 1129814 1140609 1143717 1160614 1161482 1163326 1163860 1166163 1169962 1170703 1170709 1170820 1172355 3071015 3072293 3082830 3086536 3086747 3087347 3089276 3089611 3089636 3090537 3091295 3092599 3093174 3093221 3094033 3094719 3095387 3096149 3097158 3097347 3098754 3098796 3099448 3099467 3099468 3099704 3099729 3099822 3100824 3100835 3100927 3104386 3105821 3107323 3195980 
008765	DAL204	0428728	8	0906085 0908998 0918775 0999826 1007348 1020150 1025623 1059572 1066982 1067460 1079268 1087490 1087938 1088365 1093044 1100536 1100537 1101336 1102354 1122784 1129708 1141167 1160614 1167438 1169382 3071313 3072063 3073692 3075829 3076190 3076456 3076576 3077336 3077623 3081669 3087449 3088812 3092972 3094908 3095588 3095630 3095928 3096149 3096592 3097903 3098883 3099165 3099590 3100824 3100989 3103445 3105820 3107993 
011063	PK232	3195964	2	0906447 0915740 0982172 0999712 1010750 1056203 1059677 1101031 1171461 3081061 3085810 3106074 
001839	PK227	3202080	12	0906896 1004225 1006438 1020150 1035148 1041559 1067460 1079771 1082150 
001890	ROSTUD	3208554	0	0915885 0989520 1084909 
011075	CARP13	1063828	3	0906896 0909091 0960068 0966077 0989520 1066309 1066778 1079771 1082150 
002469	CAN314	0531931	3	0907150 0985094 0991672 0998351 1034578 1058058 1065945 1083430 
001758	CAN314	0254474	0	0907217 0918195 0967411 0998885 3074936 
003511	DAL112	0031477	4	0990668 0993506 0993566 1005720 1039943 1056012 1056217 1065196 1085061 
009270	TAYC	1084371	11	0908998 0915622 0954831 0986807 1056320 1058048 1077815 1079756 1095349 1101031 1105086 3069337 3073169 3089824 3090537 
004274	PK180	3092832	30	0967532 1067382 1088690 1098210 1104151 1117320 1140609 1162293 1163855 1165573 1170567 3069991 3071136 3072293 3078465 3087983 3089341 3092236 3094287 3102974 3103177 
005248	GOCOM	3090017	2	0909216 0971073 0991229 1058058 1084462 1084909 1172030 
003447	DAL204	0031359	25	0909240 0910403 0956475 0988271 1015256 1018174 1019212 1020370 1029566 1030693 1058180 1065196 1068549 1079444 1081249 1085061 1100338 1116377 1131189 1149344 1169341 1170470 1170703 3069038 3072867 3080937 3083787 3088352 3095050 3095630 3105854 
006029	PK25	0409737	2	0909942 0987347 1017444 1029787 1030369 1040874 1055348 1059469 1059572 1065142 1068371 1076776 1079363 1079366 1079771 1080653 1084187 1088365 1088558 1089147 1090933 1092999 1096470 1099059 1100129 1100536 1104216 1104498 1117320 1119989 1129708 1131189 1134358 1141220 1150699 1150965 1157047 1158007 1159063 1160885 1167996 3064940 3068712 3069264 3070406 3072208 3072484 3072594 3073666 3074570 3075745 3076211 3077472 3077762 3078073 3079376 3080595 3082682 3085083 3085649 3086400 3088090 3089824 3092360 3093770 3095968 
007375	TH110	0031631	37	0909942 0919158 0960037 0963413 1002364 1002606 1003128 1015275 1041140 1042335 1056600 1066335 1067502 1077413 1079085 1083080 1086447 1095717 1095814 1100537 1104498 1129708 3072910 3074167 3086238 
004807	TAYC	3092667	5	0910403 0920251 0989401 1049299 1064385 1066683 1141729 1157688 1170033 3087407 3088988 3089276 3097462 3100678 3105802 
003454	GIL210	0995587	36	0911218 0988826 1003100 1019006 1020695 1029566 1030693 1038303 1042335 1056012 1056217 1058180 1065196 1066924 1084363 1086802 1088192 1143228 1145146 1149616 1169331 1170470 3068369 3074936 3080937 
005119	PK200	0031560	2	0911218 1157688 3088651 3099986 3100628 3108036 
007920	PK128	0031386	1	0911218 0987276 
006502	GOCOM	0031621	5	0911361 1056738 1084334 1088365 1100536 1100537 3093174 
006550	DAL112	3198623	7	0911936 0920261 0958186 0958897 0985440 0988990 1006105 1007952 1021017 1067297 1076299 
001892	GOCOM	0814748	1	0912781 0958984 0992616 0993506 1172397 
007010	TH110	0162976	17	0912781 1002364 1006744 1018817 1058048 1059654 1065148 1065945 1079614 1082315 1084185 1085106 1088690 1105086 1111901 1131189 1143717 1145146 1149565 1170567 1170848 1171461 1172397 3067556 3073004 3077472 3080595 
007124	CARP13	1075274	4	0913115 0915740 0960068 0999689 1007134 1007882 1020695 1021751 1025623 1056815 1095596 
010934	PK236	3098022	1	0913880 0947693 0993532 1083627 
003270	EHIII	0675005	13	1001894 1002241 1025508 1044791 1066308 1088384 1096470 1121871 1169331 3072910 3074936 
011055	TH3F	3198619	5	0913946 0985094 1007134 1013071 
001856	PK200	1063828	5	0914299 1007842 1010643 1017832 1045379 1066309 1082150 
002464	CAN311	3207943	0	0914299 0985094 1034578 
002182	PK338	1167863	58	0917334 0918009 0919283 0946010 0952783 0959189 0959304 0960084 0966094 0972660 0972861 0988625 1002045 1008925 1036225 
011064	PK273	3195964	5	0917732 0991769 1008387 3070648 3079370 
004827	DAL204	0031373	32	0917883 0947693 0967793 0971315 0995269 1001351 1005102 1017412 1018271 1029210 1057261 1058242 1063875 1067251 1077874 1080894 1084017 1087938 1104151 1165573 1169369 1171002 3069337 3070438 3073300 3077163 3080592 3106769 
001562	PK300	0129398	0	0918009 
002173	PK11	1083806	2	0918009 0952783 0959304 0960037 0966094 0972861 1002045 
004355	TAYC	0847593	15	0918074 1009729 1025629 1049050 1063875 1087938 1171002 3072397 3088090 3092999 3094287 3097133 3098796 3100835 3100927 
010947	PK338	1168489	57	0967042 1005427 1005971 1065148 1065732 1076854 1080653 1087081 1102530 1128560 1149565 3075745 3085504 3085521 
002658	PK200	0031392	1	0918195 1078646 3104658 
007087	PK128	0031573	2	0918519 1077294 
001764	PK232	1165592	1	0918775 0967411 0991756 0995269 1066778 1080757 1084363 1143228 1162293 1169360 3072484 3098354 
001843	PK25	0056992	51	0918775 0989401 1000939 1004225 1006744 1035148 1041559 1055290 1067862 1077963 1078921 1081101 1088180 1088636 1095349 1169257 1170071 3071094 
007395	PK10	0603646	3	0919158 0945969 0960497 0963413 0992577 1003100 1004324 1008282 1077413 
004065	PK11	0854975	1	0920237 1039831 1040818 1065271 1076923 
003531	CAN311	0031353	6	0920248 0991756 0993566 0995269 1065238 1100383 
006508	TAYB	0127086	0	0920261 0984724 0985440 0986262 0988990 1025035 1067251 
001769	CARP13	3099830	5	0944831 0952594 0968216 0980544 0993506 1020478 1056012 1056857 1078413 1080894 1096152 
002562	TAYG	1167856	50	0944831 0952594 1025035 1056722 1084187 1117142 1131918 1142227 1165961 1171905 3076211 3095968 3097462 3100408 3104386 
008774	TAYC	0899465	19	0945034 0987347 1006899 1009103 1013071 1065183 1079085 1082708 1088636 1115477 1131602 1160158 1169341 3098948 3106525 
008773	PK337	1168489	1	0945264 1019674 1112377 1134015 1142309 1170567 3068772 3075163 
004665	EHIII	3197633	2	0945584 0963528 1002364 1010741 1142418 1170848 3070440 3085509 3089081 3095649 3102153 3105820 
006054	EHIII	0207327	1	0945959 0959337 0987613 1005082 1008387 1013197 1024283 1058223 1065183 1067334 1077482 1086916 
001841	PK337	0814748	2	0946010 0958984 0992744 1003020 1029737 1035148 1036442 1038420 1067933 
001423	TAYG	3098022	46	0947693 1037338 1066007 1100129 3073138 3087983 3088812 3089341 3090519 3092580 3094573 3097341 3098796 3099822 3100824 3103177 3103933 3104489 
002151	PK25	0470544	9	0948390 0971315 1006405 1008967 1040045 1056096 1068549 1076299 1078390 1080808 1086867 1088120 1094134 1100383 1124785 1159063 1163326 1167996 1169257 1170071 1170823 3070017 3071094 3073357 3076896 3088090 3092072 3093221 3094809 3094908 3095105 3095111 3095335 3097133 3098330 3098883 3099911 3099986 3100927 3102316 3106561 3106835 
002657	PK11	0138190	5	0948568 0990668 1005451 1020370 1115477 
002671	TH3F	0138190	9	0948568 0988544 1087490 
001176	DAL112	0031388	16	0950504 0986807 0988263 1017840 1079993 1087081 1088882 1092116 1134015 1137955 1172355 
006038	RCSEM	0031621	9	0952594 1020520 1076877 1084187 3077471 
001763	PK232	0027799	15	0956475 0988100 0993566 1030369 1059654 1077683 1077815 1083080 1133174 1149616 1158007 3071151 
005737	EHLEC	0031392	9	0957333 0987937 0988657 1001894 1002241 1003644 1056203 1058223 1064385 1064605 1088214 1096113 1104151 3078408 
006863	DAL112	0031347	2	0957333 0958186 0989432 0991769 1008387 1013197 1024283 1055590 3074023 
006864	PK337	0750235	0	0957333 0958186 0989432 1078655 
007387	PK10	0031522	0	0958897 
002643	PK232	0765372	0	0959092 0992223 0993818 1005199 1077963 
006026	PK25	0213446	19	0959092 0965927 0976421 0988990 1001039 1001806 1019006 1020083 1020727 1038420 1056970 1077257 1079993 1098210 1140609 1141729 1158362 1163417 1169360 3065039 3070090 3071313 3079370 3081061 3082830 3085403 3087696 3088988 3091295 3095009 3095588 3097953 3099590 3100876 
011045	ROSTUD	3213249	1	0959092 3104899 
005845	CARP13	0031582	8	0965927 1010750 1049050 1077683 1077874 1080654 1096822 3074023 3086536 3091653 3093369 
004854	PK236	0031632	2	0966303 1018271 
008767	PK25	0431786	41	0967532 0988826 1084185 1098099 1162293 1163664 3068369 3070344 3070440 3073568 3074792 3074930 3077064 3079376 3088652 3089009 3089566 3089636 3091295 3096011 3098292 3100110 3102832 
009266	PEMSTD	1083868	3	0967988 0999826 1008387 1025522 
002162	PK200	0986606	3	0970193 1009729 1025460 1025629 1038671 1040874 1065142 
002164	EHIII	0180723	0	0972861 1009729 1017444 1025629 1036225 1038671 1065142 1068371 1076009 1079366 3070406 
002878	PK349	0004955	0	0973811 
004009	PK25	0030564	20	0988263 0992801 1005149 1064045 1088214 1094134 1094929 1137955 1163664 3069337 3070017 3073702 3074314 3076211 3077762 3079369 3087347 3087394 3087696 3089892 3092580 3092599 3094695 3094809 3095719 3099911 3103807 3103933 3105511 3106561 3106769 3107774 
005123	CARP13	0031560	1	0976318 
006519	EHLEC	0031478	18	0985094 1004206 1004968 1018174 1058421 1063875 1077065 1080398 1169369 
003029	PK10	0492580	1	0986262 1064780 
003034	PK128	0222805	5	0986262 1000895 
007377	TAYC	0031522	21	0986367 0989395 1002047 1015275 1064790 1079085 1079363 1080792 1083080 1084363 1149344 1169402 3070438 3097903 3105802 
005727	EHIII	0031543	6	0987276 0988657 1003644 1028249 1056203 1064385 1064605 1076854 1170303 3088978 
002569	ROSTUD	1167856	2	0987613 1017339 1171297 3077471 
002571	PK273	0564741	3	0987613 1017339 1068526 3077336 
011044	PK11	3213249	3	0987937 0991120 0993818 1005199 1084017 3088988 3097953 
007381	EHLEC	3208609	19	0988100 1002606 1021867 1055290 1056600 1077003 1086447 1088180 1095814 1143265 1143723 1146782 3076930 3079272 
001864	PK349	0031557	1	0988271 0999715 1002248 1017832 1035148 1067460 
005141	DAL204	0493856	54	0988826 1005720 1057592 1076274 1080808 1141167 1163860 3070017 3073146 3076618 3079675 3089009 3091653 3092880 3095588 3096150 3107323 
004013	DAL204	0163316	29	0989401 1030693 1066431 1067748 1068549 1076783 1077294 1093549 1096822 1098210 1103391 1129814 1131189 1136830 1149616 1159063 3078465 3079675 3082830 3089276 3090362 3091573 3091695 3092880 3098354 3099359 3099729 3102316 3102868 
003275	PK10	0695890	5	0991120 1001196 1066007 1066308 1095717 1116377 1149565 1170848 3069264 3076576 
001752	CAN314	0416447	2	0991668 1076234 1078413 3078500 3097903 3100110 3107774 
003422	CARP17	0024092	19	0991756 1018183 1019212 1030693 1057592 1059654 1060299 1066924 1078648 1096113 1101350 3089892 3091653 
010935	TAYB	3094084	9	0992577 0992796 1002706 1036442 1053370 1059469 1076234 1084462 1087782 
005190	PK264	3197633	0	0992801 0999833 1141220 
002424	CAN311	0031353	2	0993169 0998351 1005102 1005315 1058242 
002453	TH251	0031373	0	0993169 
009262	CAN314	3196642	10	0993517 1017412 1056096 1066683 1163855 3070476 3076456 3099957 
009225	DAL112	1165592	10	0998784 1018174 1080653 1080654 1100338 3086015 3089298 3092985 3094033 3097636 
009296	ROSTUD	1084371	3	0998799 1004968 1056270 3089298 
011035	PK338	3213250	62	0998815 0998972 1006444 1026650 1037745 1065238 1076854 1076989 1085324 1143265 1158362 3080937 3104653 
011031	GOA	3194524	0	0998972 
010851	CARP15	0619470	11	0999715 1005082 1006438 1006444 1018936 1025629 1036027 1049929 1055348 1076989 1077482 1088384 3072208 3073666 
002637	CARP13	0827051	2	0999733 1006444 1007394 1062675 1066679 1067502 1143228 1145146 
008495	PK264	0316015	1	1000750 1050781 1073544 
004868	PK349	0031373	3	1001351 1001887 1018271 1029210 
002420	DAL100A	0695890	0	1001806 1097648 
007905	CARP17	0367446	1	1001905 1076085 
011058	PK10	0431946	2	1001905 1040618 1076085 1100383 
004036	TAYB	0030564	16	1004225 1056963 1158362 1167996 1169402 3070374 3076896 3078408 3107658 
007364	PK25	0031611	7	1004225 1008282 1056203 1067241 1076234 1078646 1079756 1081249 1088173 1088882 1096113 1112377 1142309 1146782 1161960 1163278 1170860 3068369 3069264 3070440 3070476 3071734 3073138 3074001 3074289 3074734 3074891 3075163 3076930 3077033 3077163 3085836 3086015 3087394 3087407 3087433 3089009 3096693 3097462 3097894 3100897 3104386 3104653 3105511 3106131 3106953 3112067 
006024	PK338	0031454	18	1004997 1082708 1082842 1088120 1101406 1167714 1170303 1171905 3074792 3079862 3080592 3087444 3092072 3094992 3095111 3095625 3095649 3096011 3096962 3098292 3098754 3098799 3099757 3100628 3102868 3102915 3104541 3104658 3105854 
006506	PK349	0138190	2	1005068 1065646 1083431 
