Course	Room	Teacher	Time	Students
49	36	35	1	7 22 29 30 37 60 61 95 103 139 151 173 193 247 248 256 337 351 375 396 442 454 467 472 508 509 530 585 616 629 642 650 693 731 732 778 813 821 827 872 874 902 927 958 981 
50	25	19	3	47 62 88 277 306 311 333 391 475 478 539 651 653 725 735 799 809 835 841 850 881 891 929 937 971 975 
51	19	12	0	23 93 100 113 117 132 169 194 196 296 317 380 398 429 482 493 516 564 588 620 646 714 801 805 816 837 874 882 933 941 961 
52	6	49	5	3 15 96 102 110 114 244 267 318 326 381 414 426 500 505 562 612 614 637 717 738 754 755 761 823 905 
53	10	31	0	27 56 74 82 130 161 232 258 274 286 428 477 572 594 609 626 627 631 654 678 766 772 782 797 812 824 946 995 
54	3	28	1	46 67 105 142 159 241 254 372 429 485 507 511 594 610 615 625 632 646 681 689 717 797 801 849 883 940 959 
55	32	32	1	71 83 90 190 230 303 344 355 357 384 423 432 478 514 595 630 640 644 663 665 719 791 816 843 871 888 897 943 954 960 
56	15	42	1	66 106 118 132 136 141 143 186 218 252 290 308 315 327 393 399 419 424 430 498 499 536 541 560 565 602 617 623 641 668 730 754 857 
57	3	24	3	2 65 66 73 157 218 245 329 335 356 403 420 437 443 453 496 556 577 615 654 660 700 712 756 782 784 836 886 952 
58	38	49	3	21 84 145 153 164 173 189 210 219 227 240 287 341 392 400 413 419 472 477 488 505 513 516 540 564 572 580 666 705 727 792 832 878 884 936 983 
59	31	38	1	4 19 55 70 94 97 98 111 160 232 274 297 323 331 368 370 386 415 416 449 539 563 684 702 746 803 819 834 853 880 911 935 969 994 
60	19	48	1	91 130 150 166 174 176 184 192 206 208 217 220 255 257 321 371 400 460 496 551 587 703 709 715 750 752 811 882 985 997 
61	12	7	2	165 167 185 186 203 256 276 278 339 357 399 450 467 527 574 742 751 802 871 932 940 992 999 
62	38	1	5	19 156 164 166 169 178 306 323 356 411 442 487 494 550 570 626 640 658 665 682 692 699 710 716 718 723 728 740 785 803 858 878 903 910 914 937 944 949 
63	15	12	4	14 34 36 60 126 169 210 225 263 289 323 353 355 368 420 444 537 559 569 597 599 607 678 683 704 743 796 811 889 899 971 973 
64	10	38	4	63 165 167 187 206 212 222 224 232 237 250 341 395 397 416 424 434 446 535 616 699 721 768 769 819 858 860 867 885 900 903 932 957 977 981 
65	32	14	5	66 76 77 86 135 151 239 243 281 292 312 314 340 344 379 389 413 470 471 476 575 591 733 739 769 772 781 790 804 806 825 886 897 904 982 
66	26	43	5	100 121 131 134 141 162 224 346 355 358 367 368 374 417 460 515 517 617 706 707 725 726 731 795 802 805 840 902 912 930 936 993 
67	2	8	2	173 177 198 240 260 307 326 337 394 401 408 412 437 438 482 577 607 617 622 686 726 759 796 814 837 842 889 946 970 974 
68	47	42	4	43 54 101 105 113 175 219 236 260 334 338 373 388 402 496 501 504 522 561 568 590 626 638 715 726 775 814 873 888 902 909 915 938 989 
69	2	32	0	4 18 24 30 41 79 238 240 313 351 366 433 547 593 601 729 757 785 808 817 830 835 856 910 927 963 977 
70	42	5	3	57 58 60 61 86 96 102 154 163 279 288 293 424 439 468 481 544 591 677 693 702 718 738 788 964 985 
71	36	10	3	19 197 206 221 239 260 282 322 373 417 441 470 474 486 492 501 503 529 588 597 644 688 689 754 833 851 871 883 908 910 912 915 932 933 986 
72	8	10	2	7 9 18 19 55 61 144 160 220 239 284 462 472 501 505 518 627 638 649 697 729 769 820 868 951 965 969 971 989 
73	47	41	0	42 44 53 69 90 210 213 216 270 273 277 288 294 303 356 378 442 461 526 623 647 665 667 732 739 863 881 922 945 970 998 
74	5	34	1	41 65 82 84 161 168 197 214 240 284 302 307 311 316 324 373 414 418 484 517 521 555 556 561 564 596 600 608 658 666 691 711 718 772 804 828 859 886 919 956 
75	48	7	4	74 86 150 193 229 259 299 302 349 352 445 450 518 618 632 639 653 677 692 736 767 780 815 824 842 874 895 
76	26	18	4	38 53 65 121 191 204 243 251 273 274 294 310 315 335 359 370 417 458 499 521 530 542 601 628 705 719 727 797 808 849 857 859 999 
77	28	20	2	13 104 121 122 174 316 341 365 393 397 514 534 537 580 619 692 708 730 812 825 870 899 
78	23	33	4	11 61 107 157 181 267 281 291 298 375 379 383 390 441 481 592 598 620 621 658 675 680 706 823 869 893 931 939 944 959 992 
79	5	16	5	5 24 27 28 44 56 88 109 124 197 211 288 324 333 343 360 371 399 412 425 430 473 532 541 650 679 697 704 753 762 884 906 911 968 985 997 
80	23	14	3	10 46 71 75 93 125 135 139 236 337 343 348 350 359 369 380 422 495 519 641 667 709 720 730 777 855 942 962 977 
81	42	1	0	31 60 63 85 101 124 142 155 199 269 331 394 410 411 458 506 508 512 534 560 602 651 706 749 775 820 851 891 902 962 990 
82	19	43	4	70 117 149 153 215 269 276 278 305 332 382 429 433 437 442 455 515 528 613 619 686 751 758 777 779 813 831 870 886 1000 
83	32	24	2	35 38 39 52 79 135 181 192 193 229 234 262 277 281 383 431 529 533 566 581 648 655 702 721 770 803 824 832 845 866 894 917 924 935 943 987 993 1000 
84	30	27	4	25 26 88 91 144 245 248 256 266 300 401 409 439 478 491 527 564 578 612 671 708 817 851 918 922 929 948 983 
85	5	22	2	8 12 46 125 147 162 221 322 334 345 350 361 377 417 420 428 429 469 480 496 498 500 530 559 609 621 660 687 695 698 722 723 757 773 856 869 914 937 966 991 994 
86	26	20	3	4 20 85 167 177 182 250 267 318 344 428 497 524 525 527 528 530 532 537 551 561 578 598 618 632 646 698 724 734 759 774 801 946 999 
87	3	22	0	21 43 70 94 174 215 302 343 345 419 449 457 481 570 581 681 700 709 724 776 793 819 860 935 938 984 
88	31	26	5	25 62 79 149 152 205 230 259 329 359 375 402 477 490 511 523 535 538 545 559 610 641 645 737 756 779 808 872 873 880 888 
89	36	37	2	83 159 214 244 280 308 372 390 474 546 548 571 585 681 699 701 733 741 793 841 853 858 867 898 947 948 950 952 959 997 
90	30	18	0	95 96 120 122 134 175 187 224 234 422 488 489 504 524 608 635 641 669 691 752 823 909 926 947 
91	10	28	3	14 36 56 213 214 215 274 278 286 294 330 351 364 379 383 401 483 490 498 531 547 557 609 610 684 686 694 719 726 748 922 953 970 
92	10	27	2	96 97 110 114 145 148 272 283 309 315 340 421 570 594 657 665 716 724 734 735 765 804 859 861 864 
93	3	15	4	64 80 89 123 130 311 378 421 425 428 505 533 562 614 637 761 800 801 803 972 985 
94	32	30	0	15 54 57 163 182 200 230 250 309 370 389 405 430 452 495 537 556 557 632 655 813 870 889 903 937 966 
95	2	40	3	35 87 100 158 184 186 237 251 339 360 376 449 471 476 543 555 614 621 731 798 827 837 849 890 
96	36	41	5	49 68 105 120 195 215 350 380 397 474 508 568 569 611 623 628 647 671 695 735 736 764 774 782 830 831 847 898 901 924 942 943 951 988 
97	9	50	4	8 87 179 233 261 306 309 344 371 456 606 609 610 710 724 725 739 765 818 830 878 933 943 960 
98	47	15	2	10 50 69 72 108 146 199 217 224 238 243 254 287 310 400 427 435 436 452 459 471 492 562 603 671 766 827 927 944 977 
99	9	40	1	5 9 33 40 110 119 172 238 271 283 296 312 409 458 503 535 688 692 748 758 759 762 796 808 855 860 899 932 
100	31	21	2	15 64 74 118 320 328 359 363 395 413 426 449 479 510 575 587 629 659 732 737 758 760 818 830 843 896 922 923 930 931 958 975 
